IP;EndPoint;Data e Hora
::1;localhost:7188/orgao;05/03/2024 23:29:01
::1;localhost:7188/orgao;05/03/2024 23:29:49
::1;localhost:7188/orgao;05/03/2024 23:30:26
::1;localhost:7188/orgao;05/03/2024 23:31:52
::1;localhost:7188/orgao;05/03/2024 23:31:59
::1;localhost:7188/orgao;05/03/2024 23:57:52
::1;localhost:7188/orgao;05/03/2024 23:57:59
::1;localhost:7188/orgao;05/03/2024 23:58:46
::1;localhost:7188/orgao;05/03/2024 23:59:35
::1;localhost:7188/orgao;06/03/2024 00:01:37
::1;localhost:7188/orgao;06/03/2024 00:01:55
::1;localhost:7188/orgao;06/03/2024 00:02:44
::1;localhost:7188/orgao;06/03/2024 00:02:55
::1;localhost:7188/orgao;06/03/2024 00:03:09
::1;localhost:7188/orgao;06/03/2024 23:37:01
::1;localhost:7188/orgao;06/03/2024 23:37:07
::1;localhost:7188/orgao;06/03/2024 23:37:09
::1;localhost:7188/orgao;06/03/2024 23:37:15
::1;localhost:7188/orgao;06/03/2024 23:38:26
::1;localhost:7188/orgao;06/03/2024 23:38:41
::1;localhost:7188/orgao;06/03/2024 23:39:14
::1;localhost:7188/orgao;06/03/2024 23:44:18
::1;localhost:7188/orgao;06/03/2024 23:44:40
::1;localhost:7188/orgao;06/03/2024 23:44:58
::1;localhost:7188/orgao;06/03/2024 23:45:16
::1;localhost:7188/orgao;06/03/2024 23:45:26
::1;localhost:7188/orgao;06/03/2024 23:45:50
::1;localhost:7188/orgao;06/03/2024 23:46:04
::1;localhost:7188/orgao;06/03/2024 23:46:45
::1;localhost:7188/orgao;06/03/2024 23:47:21
::1;localhost:7188/orgao;06/03/2024 23:48:22
::1;localhost:7188/orgao;06/03/2024 23:49:27
::1;localhost:7188/orgao;06/03/2024 23:50:48
::1;localhost:7188/orgao;06/03/2024 23:57:00
::1;localhost:7188/orgao;07/03/2024 00:00:08
::1;localhost:7188/orgao;07/03/2024 00:00:38
::1;localhost:7188/orgao;07/03/2024 23:39:33
::1;localhost:7188/orgao;07/03/2024 23:39:52
::1;localhost:7188/orgao;07/03/2024 23:40:25
127.0.0.1;localhost:7188/orgao;07/03/2024 23:41:46
127.0.0.1;localhost:7188/orgao;07/03/2024 23:41:59
127.0.0.1;localhost:7188/orgao;07/03/2024 23:42:58
127.0.0.1;localhost:7188/orgao;07/03/2024 23:43:49
127.0.0.1;localhost:7188/orgao;07/03/2024 23:43:56
127.0.0.1;localhost:7188/orgao;07/03/2024 23:44:28
127.0.0.1;localhost:7188/orgao;07/03/2024 23:47:06
127.0.0.1;localhost:7188/orgao;07/03/2024 23:47:27
::1;localhost:7188/orgao;08/03/2024 16:05:36
::1;localhost:7188/orgao;08/03/2024 16:07:28
::1;localhost:7188/orgao;08/03/2024 16:11:14
::1;localhost:7188/orgao;08/03/2024 17:32:59
::1;localhost:7188/orgao;08/03/2024 17:33:39
::1;localhost:7188/orgao;08/03/2024 17:34:48
::1;localhost:7188/orgao;08/03/2024 17:38:55
::1;localhost:7188/orgao;09/03/2024 11:22:15
::1;localhost:7188/orgao;09/03/2024 11:25:13
::1;localhost:7188/orgao;09/03/2024 11:25:34
::1;localhost:7188/orgao;09/03/2024 11:26:18
::1;localhost:7188/orgao;09/03/2024 11:26:39
::1;localhost:7188/orgao;09/03/2024 11:26:50
::1;localhost:7188/orgao;09/03/2024 11:31:43
::1;localhost:7188/orgao;09/03/2024 11:33:32
::1;localhost:7188/orgao;09/03/2024 11:40:23
::1;localhost:7188/orgao;09/03/2024 11:41:51
127.0.0.1;localhost:7188/orgao;09/03/2024 12:17:45
::1;localhost:7188/orgao;09/03/2024 12:19:45
::1;localhost:7188/orgao;09/03/2024 12:21:18
127.0.0.1;localhost:7188/orgao;09/03/2024 12:22:26
::1;localhost:7188/orgao;09/03/2024 12:23:22
::1;localhost:7188/orgao;09/03/2024 18:59:51
127.0.0.1;localhost:7188/orgao;09/03/2024 19:00:51
::1;localhost:7188/orgao;09/03/2024 19:01:29
127.0.0.1;localhost:7188/orgao;09/03/2024 19:30:42
127.0.0.1;localhost:7188/orgao;09/03/2024 19:36:39
127.0.0.1;localhost:7188/orgao;09/03/2024 19:36:48
127.0.0.1;localhost:7188/orgao;09/03/2024 19:36:54
127.0.0.1;localhost:7188/orgao;09/03/2024 19:37:02
127.0.0.1;localhost:7188/orgao;09/03/2024 19:42:59
127.0.0.1;localhost:7188/orgao;09/03/2024 19:43:17
127.0.0.1;localhost:7188/orgao;09/03/2024 19:44:05
127.0.0.1;localhost:7188/orgao;09/03/2024 19:47:09
